timestamp, clocks.current.sm [MHz], pstate, utilization.gpu [%]
2026/08/31 16:34:37.565, 210 MHz, P8, 3 %
2026/08/31 16:34:37.595, 210 MHz, P8, 3 %
2026/08/31 16:34:37.625, 210 MHz, P8, 3 %
2026/08/31 16:34:37.657, 210 MHz, P8, 3 %
2026/08/31 16:34:37.688, 210 MHz, P8, 3 %
2026/08/31 16:34:37.720, 210 MHz, P8, 3 %
2026/08/31 16:34:37.750, 210 MHz, P8, 3 %
2026/08/31 16:34:37.780, 210 MHz, P8, 3 %
2026/08/31 16:34:37.810, 210 MHz, P8, 3 %
2026/08/31 16:34:37.840, 210 MHz, P8, 3 %
2026/08/31 16:34:37.870, 210 MHz, P8, 3 %
2026/08/31 16:34:37.901, 210 MHz, P8, 1 %
2026/08/31 16:34:37.931, 210 MHz, P8, 1 %
2026/08/31 16:34:37.961, 210 MHz, P8, 1 %
2026/08/31 16:34:37.991, 210 MHz, P8, 1 %
2026/08/31 16:34:38.021, 210 MHz, P8, 1 %
2026/08/31 16:34:38.052, 210 MHz, P8, 1 %
2026/08/31 16:34:38.083, 210 MHz, P8, 1 %
2026/08/31 16:34:38.113, 210 MHz, P8, 1 %
2026/08/31 16:34:38.144, 210 MHz, P8, 1 %
2026/08/31 16:34:38.175, 210 MHz, P8, 1 %
2026/08/31 16:34:38.205, 210 MHz, P8, 1 %
2026/08/31 16:34:38.236, 210 MHz, P8, 1 %
2026/08/31 16:34:38.267, 210 MHz, P8, 1 %
2026/08/31 16:34:38.298, 210 MHz, P8, 1 %
2026/08/31 16:34:38.328, 210 MHz, P8, 1 %
2026/08/31 16:34:38.358, 210 MHz, P8, 1 %
2026/08/31 16:34:38.388, 210 MHz, P8, 28 %
2026/08/31 16:34:38.418, 210 MHz, P8, 28 %
2026/08/31 16:34:38.448, 210 MHz, P8, 28 %
2026/08/31 16:34:38.481, 210 MHz, P8, 28 %
2026/08/31 16:34:38.511, 210 MHz, P8, 28 %
2026/08/31 16:34:38.542, 210 MHz, P8, 28 %
2026/08/31 16:34:38.573, 210 MHz, P8, 28 %
2026/08/31 16:34:38.603, 210 MHz, P8, 28 %
2026/08/31 16:34:38.635, 210 MHz, P8, 28 %
2026/08/31 16:34:38.666, 210 MHz, P8, 28 %
2026/08/31 16:34:38.697, 210 MHz, P8, 28 %
2026/08/31 16:34:38.728, 210 MHz, P8, 28 %
2026/08/31 16:34:38.759, 210 MHz, P8, 28 %
2026/08/31 16:34:38.790, 210 MHz, P8, 28 %
2026/08/31 16:34:38.821, 210 MHz, P8, 28 %
2026/08/31 16:34:38.853, 210 MHz, P8, 28 %
2026/08/31 16:34:38.884, 210 MHz, P8, 25 %
2026/08/31 16:34:38.915, 210 MHz, P8, 25 %
2026/08/31 16:34:38.947, 210 MHz, P8, 25 %
2026/08/31 16:34:38.978, 210 MHz, P8, 25 %
2026/08/31 16:34:39.009, 210 MHz, P8, 25 %
2026/08/31 16:34:39.039, 210 MHz, P8, 25 %
2026/08/31 16:34:39.070, 210 MHz, P8, 25 %
2026/08/31 16:34:39.101, 210 MHz, P8, 25 %
2026/08/31 16:34:39.131, 210 MHz, P8, 25 %
2026/08/31 16:34:39.161, 210 MHz, P8, 25 %
2026/08/31 16:34:39.191, 210 MHz, P8, 25 %
2026/08/31 16:34:39.223, 210 MHz, P8, 25 %
2026/08/31 16:34:39.253, 210 MHz, P8, 25 %
2026/08/31 16:34:39.284, 210 MHz, P8, 25 %
2026/08/31 16:34:39.315, 210 MHz, P8, 25 %
2026/08/31 16:34:39.345, 210 MHz, P8, 25 %
2026/08/31 16:34:39.375, 210 MHz, P8, 32 %
2026/08/31 16:34:39.405, 210 MHz, P8, 32 %
2026/08/31 16:34:39.435, 210 MHz, P8, 32 %
2026/08/31 16:34:39.466, 210 MHz, P8, 32 %
2026/08/31 16:34:39.496, 210 MHz, P8, 32 %
2026/08/31 16:34:39.526, 210 MHz, P8, 32 %
2026/08/31 16:34:39.557, 210 MHz, P8, 32 %
2026/08/31 16:34:39.588, 210 MHz, P8, 32 %
2026/08/31 16:34:39.619, 210 MHz, P8, 32 %
2026/08/31 16:34:39.650, 210 MHz, P8, 32 %
2026/08/31 16:34:39.681, 210 MHz, P8, 32 %
2026/08/31 16:34:39.712, 210 MHz, P8, 32 %
2026/08/31 16:34:39.742, 210 MHz, P8, 32 %
2026/08/31 16:34:39.772, 210 MHz, P8, 32 %
2026/08/31 16:34:39.802, 210 MHz, P8, 32 %
2026/08/31 16:34:39.834, 210 MHz, P8, 32 %
2026/08/31 16:34:39.866, 210 MHz, P8, 32 %
2026/08/31 16:34:39.897, 210 MHz, P8, 26 %
2026/08/31 16:34:39.929, 210 MHz, P8, 26 %
2026/08/31 16:34:39.959, 210 MHz, P8, 26 %
2026/08/31 16:34:39.990, 210 MHz, P8, 26 %
2026/08/31 16:34:40.020, 210 MHz, P8, 26 %
2026/08/31 16:34:40.052, 210 MHz, P8, 26 %
2026/08/31 16:34:40.084, 210 MHz, P8, 26 %
2026/08/31 16:34:40.114, 210 MHz, P8, 26 %
2026/08/31 16:34:40.144, 210 MHz, P8, 26 %
2026/08/31 16:34:40.176, 210 MHz, P8, 26 %
2026/08/31 16:34:40.206, 210 MHz, P8, 26 %
2026/08/31 16:34:40.237, 210 MHz, P8, 26 %
2026/08/31 16:34:40.268, 210 MHz, P8, 26 %
2026/08/31 16:34:40.300, 210 MHz, P8, 26 %
2026/08/31 16:34:40.330, 210 MHz, P8, 26 %
2026/08/31 16:34:40.360, 210 MHz, P8, 26 %
2026/08/31 16:34:40.390, 210 MHz, P8, 24 %
2026/08/31 16:34:40.420, 210 MHz, P8, 24 %
2026/08/31 16:34:40.451, 210 MHz, P8, 24 %
2026/08/31 16:34:40.482, 210 MHz, P8, 24 %
2026/08/31 16:34:40.514, 210 MHz, P8, 24 %
2026/08/31 16:34:40.546, 210 MHz, P8, 24 %
2026/08/31 16:34:40.576, 210 MHz, P8, 24 %
2026/08/31 16:34:40.608, 210 MHz, P8, 24 %
2026/08/31 16:34:40.638, 210 MHz, P8, 24 %
2026/08/31 16:34:40.670, 210 MHz, P8, 24 %
2026/08/31 16:34:40.702, 210 MHz, P8, 24 %
2026/08/31 16:34:40.733, 210 MHz, P8, 24 %
2026/08/31 16:34:40.764, 210 MHz, P8, 24 %
2026/08/31 16:34:40.795, 210 MHz, P8, 24 %
